date,Cases inz_entries 0 - 9,Cases inz_entries 10 - 19,Cases inz_entries 20 - 29,Cases inz_entries 30 - 39,Cases inz_entries 40 - 49,Cases inz_entries 50 - 59,Cases inz_entries 60 - 69,Cases inz_entries 70 - 79,Cases inz_entries 80+,Cases inzsumTotal 0 - 9,Cases inzsumTotal 10 - 19,Cases inzsumTotal 20 - 29,Cases inzsumTotal 30 - 39,Cases inzsumTotal 40 - 49,Cases inzsumTotal 50 - 59,Cases inzsumTotal 60 - 69,Cases inzsumTotal 70 - 79,Cases inzsumTotal 80+,Death inz_entries 0 - 9,Death inz_entries 10 - 19,Death inz_entries 20 - 29,Death inz_entries 30 - 39,Death inz_entries 40 - 49,Death inz_entries 50 - 59,Death inz_entries 60 - 69,Death inz_entries 70 - 79,Death inz_entries 80+,Death inzsumTotal 0 - 9,Death inzsumTotal 10 - 19,Death inzsumTotal 20 - 29,Death inzsumTotal 30 - 39,Death inzsumTotal 40 - 49,Death inzsumTotal 50 - 59,Death inzsumTotal 60 - 69,Death inzsumTotal 70 - 79,Death inzsumTotal 80+,Hosp inz_entries 0 - 9,Hosp inz_entries 10 - 19,Hosp inz_entries 20 - 29,Hosp inz_entries 30 - 39,Hosp inz_entries 40 - 49,Hosp inz_entries 50 - 59,Hosp inz_entries 60 - 69,Hosp inz_entries 70 - 79,Hosp inz_entries 80+,Hosp inzsumTotal 0 - 9,Hosp inzsumTotal 10 - 19,Hosp inzsumTotal 20 - 29,Hosp inzsumTotal 30 - 39,Hosp inzsumTotal 40 - 49,Hosp inzsumTotal 50 - 59,Hosp inzsumTotal 60 - 69,Hosp inzsumTotal 70 - 79,Hosp inzsumTotal 80+,Cases inz_entries female,Cases inz_entries male,Cases inzsumTotal female,Cases inzsumTotal male,Death inz_entries female,Death inz_entries male,Death inzsumTotal female,Death inzsumTotal male,Hosp inz_entries female,Hosp inz_entries male,Hosp inzsumTotal female,Hosp inzsumTotal male,AtLeastOneDosePersons per100PersonsTotal,COVID19FullyVaccPersons per100PersonsTotal,ICU_AllPatients,ICU_Covid19Patients,ICU_Capacity,Total_AllPatients,Total_Covid19Patients,Total_Capacity,ICU_NonCovid19Patients,ICU_FreeCapacity,Total_NonCovid19Patients,Total_FreeCapacity,prct_B.1.1.7,prct_B.1.351,prct_P.1,prct_P.2,prct_B.1.617.1,prct_B.1.617.2,prct_B.1.525,prct_B.1.526,case_entries,case_inz_entries,case_inzsumTotal,hosp_inz_entries,hosp_inzsumTotal,death_inz_entries,death_inzsumTotal,test_entries,test_inz_entries,test_inzsumTotal,median_R_mean,median_R_highHPD,median_R_lowHPD,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kofStrigency,Borders,Events,Gatherings/private events,Demonstrations,Primary (includes kindergarten) and lower secondary school,"Upper secondary school, vocational schools and higher education",Universities and other educational establishments,Mountain railways,Homeworking,Restaurants,Discos/Nightclubs,Shops/Markets,Penalties,Mask mandatory in publicly accessible establishments/ spaces (shops etc.),Mask mandatory in public transport,Masks mandatory in schools,Masks mandatory at work,"Cultural, entertainment and recreational facilities",Sport/Wellness facilities,Sport activities,Religious services,Singing allowed,isHoliday,intervistaMob,meanNeighborIncidence,maxNeighborIncidence,temp_min,temp_max,clouds,precipitation
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,25.0,390.0,0.0,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0174127451355175,0.06609687970866268,0.0,2.73,3.67,1.94,-2.0,-2.0,44.0,8.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22.7503666318912,0.0,0.0,268.53,277.58,47.13,0.09
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.090909090909092,0.09090909090909091,25.0,390.09090909090907,0.09090909090909091,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0174127451355175,0.06609687970866268,0.205,2.73,3.67,1.94,20.0,17.0,12.0,12.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.1815672718391,0.128800952864066,0.2492767413404821,270.64,279.3,51.57,0.1
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.181818181818182,0.18181818181818182,25.0,390.1818181818182,0.18181818181818182,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0174127451355175,0.06609687970866268,0.41,2.73,3.67,1.94,-6.0,-8.0,-12.0,-8.0,-10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22.5246952761707,0.2576019057281321,0.4985534826809642,271.0,279.63,56.18,0.09
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.272727272727273,0.2727272727272727,25.0,390.27272727272725,0.2727272727272727,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0174127451355175,0.06609687970866268,0.615,2.73,3.67,1.94,1.0,-3.0,24.0,-1.0,-9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.9136775682054,0.3864028585921981,0.7478302240214463,268.93,278.7,40.21,0.02
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.363636363636363,0.36363636363636365,25.0,390.3636363636364,0.36363636363636365,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0174127451355175,0.06609687970866268,0.82,2.73,3.67,1.94,-4.0,-4.0,-5.0,-9.0,-11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.6725849380059,0.5152038114562641,0.9971069653619284,270.47,278.77,44.72,0.03
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.454545454545455,0.4545454545454546,25.0,390.45454545454544,0.4545454545454546,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0174127451355175,0.06609687970866268,1.025,2.73,3.67,1.94,23.0,1.0,281.0,31.0,-22.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25.0540246815365,0.6440047643203303,1.2463837067024106,267.6,279.93,43.63,0.04
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.545454545454545,0.5454545454545454,25.0,390.54545454545456,0.5454545454545454,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0174127451355175,0.06609687970866268,1.23,2.73,3.67,1.94,-9.0,0.0,11.0,-1.0,-21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26.6920388982432,0.7728057171843963,1.4956604480428926,270.18,281.07,53.83,0.07
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.636363636363637,0.6363636363636364,25.0,390.6363636363636,0.6363636363636364,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0174127451355175,0.06609687970866268,1.4349999999999998,2.73,3.67,1.94,7.0,-2.0,152.0,37.0,-6.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.6544883754501,0.9016066700484624,1.7449371893833747,272.11,281.09,59.5,0.02
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.727272727272727,0.7272727272727273,25.0,390.72727272727275,0.7272727272727273,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0174127451355175,0.06609687970866268,1.64,2.73,3.67,1.94,15.0,17.0,-2.0,40.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.1812553039093,1.0304076229125283,1.9942139307238569,269.87,281.36,57.47,0.05
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.818181818181818,0.8181818181818182,25.0,390.8181818181818,0.8181818181818182,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0174127451355175,0.06609687970866268,1.845,2.73,3.67,1.94,39.0,5.0,325.0,43.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.396421356613,1.1592085757765944,2.243490672064339,271.32,280.43,50.72,0.06
2020-02-25,0.0,0.35000000000000003,0.0,0.2414285714285714,0.5157142857142857,0.6900000000000001,0.0,0.0,0.0,0.0,0.35000000000000003,0.0,0.2414285714285714,0.5157142857142857,0.6900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2757142857142857,0.20857142857142857,0.2757142857142857,0.20857142857142857,0.0,0.0,0.0,0.0,0.06857142857142857,0.0,0.06857142857142857,0.0,0.0,0.0,11.90909090909091,0.9090909090909092,25.0,390.90909090909093,0.9090909090909092,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.902079590198403,0.3184667840508293,2.05,2.73,3.67,1.94,21.0,6.0,120.0,19.0,-23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21.7088182696661,1.2880095286406603,2.492767413404821,269.79,279.03,43.8,0.04
2020-02-26,0.0,0.7000000000000001,0.0,0.4828571428571428,1.0314285714285714,1.3800000000000001,0.0,0.0,0.0,0.0,0.7000000000000001,0.0,0.4828571428571428,1.0314285714285714,1.3800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5514285714285714,0.41714285714285715,0.5514285714285714,0.41714285714285715,0.0,0.0,0.0,0.0,0.13714285714285715,0.0,0.13714285714285715,0.0,0.0,0.0,12.0,1.0,25.0,391.0,1.0,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.773328491150274,0.6349306323529111,2.255,2.73,3.67,1.94,-10.0,-2.0,-9.0,-12.0,-18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.9723956576248,1.4168104815047269,2.742044154745303,269.56,278.67,46.79,0.05
2020-02-27,0.0,1.05,0.0,0.7242857142857142,1.5471428571428572,2.0700000000000003,0.0,0.0,0.0,0.0,1.05,0.0,0.7242857142857142,1.5471428571428572,2.0700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8271428571428571,0.6257142857142857,0.8271428571428571,0.6257142857142857,0.0,0.0,0.0,0.0,0.20571428571428574,0.0,0.20571428571428574,0.0,0.0,0.0,12.09090909090909,1.0909090909090908,25.0,391.09090909090907,1.0909090909090908,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57093161053557,0.5568161381517643,2.46,2.73,3.67,1.94,-7.0,0.0,-32.0,-14.0,-13.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.6604266377519,1.5456114343687926,2.991320896085785,270.11,278.72,57.03,0.03
2020-02-28,0.0,1.4000000000000001,0.0,0.9657142857142856,2.0628571428571427,2.7600000000000002,0.0,0.0,0.0,0.0,1.4000000000000001,0.0,0.9657142857142856,2.0628571428571427,2.7600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1028571428571428,0.8342857142857143,1.1028571428571428,0.8342857142857143,0.0,0.0,0.0,0.0,0.2742857142857143,0.0,0.2742857142857143,0.0,0.0,0.0,12.181818181818182,1.1818181818181819,25.0,391.1818181818182,1.1818181818181819,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.596333957720097,0.883294665197583,2.665,2.73,3.67,1.94,-5.0,6.0,0.0,-8.0,-12.0,4.0,17.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25.9210631473367,1.674412387232859,3.2405976374262675,269.64,279.08,55.85,0.06
2020-02-29,0.0,1.7500000000000002,0.0,1.207142857142857,2.5785714285714283,3.45,0.0,0.0,0.0,0.0,1.7500000000000002,0.0,1.207142857142857,2.5785714285714283,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3785714285714286,1.042857142857143,1.3785714285714286,1.042857142857143,0.0,0.0,0.0,0.0,0.34285714285714286,0.0,0.34285714285714286,0.0,0.0,0.0,12.272727272727273,1.2727272727272727,25.0,391.27272727272725,1.2727272727272727,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.830995068618831,0.5087456801818279,2.8699999999999997,2.73,3.67,1.94,-9.0,2.0,-6.0,-14.0,-6.0,3.0,17.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.9301907473335,1.803213340096925,3.489874378766749,274.52,281.28,77.75,0.14
2020-03-01,0.0,2.1,0.0,1.4485714285714284,3.0942857142857143,4.140000000000001,0.0,0.0,0.0,0.0,2.1,0.0,1.4485714285714284,3.0942857142857143,4.140000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6542857142857141,1.2514285714285713,1.6542857142857141,1.2514285714285713,0.0,0.0,0.0,0.0,0.4114285714285715,0.0,0.4114285714285715,0.0,0.0,0.0,12.363636363636363,1.3636363636363638,25.0,391.3636363636364,1.3636363636363638,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.438185710462939,0.7430891627852683,3.0749999999999997,2.73,3.67,1.94,1.0,6.0,22.0,2.0,0.0,1.0,22.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.7037240477868,1.9320142929609911,3.739151120107232,272.51,279.55,67.64,0.12
2020-03-02,0.0,2.45,0.0,1.69,3.61,4.83,0.0,0.0,0.0,0.0,2.45,0.0,1.69,3.61,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,1.46,1.93,1.46,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.0,0.0,0.0,12.454545454545455,1.4545454545454546,25.0,391.45454545454544,1.4545454545454546,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.613746702855615,0.9493915449062457,3.28,2.73,3.67,1.94,-8.0,-2.0,-21.0,-4.0,0.0,3.0,22.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22.4311368486109,2.0608152458250566,3.9884278614477138,271.99,279.49,66.99,0.17
2020-03-03,0.0,2.1,0.5285714285714286,3.142857142857143,4.385714285714285,5.75,0.63,1.3257142857142856,2.7085714285714286,0.0,2.45,0.5285714285714286,3.385714285714286,4.901428571428571,6.44,0.63,1.3257142857142856,2.7085714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.2642857142857143,0.0,0.25857142857142856,0.23,0.0,0.4414285714285714,2.0314285714285716,0.0,2.45,0.2642857142857143,0.0,0.25857142857142856,0.23,0.0,0.4414285714285714,2.0314285714285716,2.412857142857143,2.638571428571429,2.6885714285714286,2.847142857142857,0.0,0.0,0.0,0.0,0.5499999999999999,0.34714285714285714,0.6185714285714285,0.34714285714285714,0.0,0.0,12.545454545454545,1.5454545454545454,25.0,391.54545454545456,1.5454545454545454,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24,0.24,0.0,0.0,0.0,0.0,22.013112122023013,1.4300961246056105,3.485,2.73,3.67,1.94,-2.0,2.0,-6.0,-3.0,0.0,2.0,22.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.2373234391106,2.189616198689123,4.237704602788196,271.42,279.18,54.72,0.04
2020-03-04,0.0,1.75,1.0571428571428572,4.595714285714285,5.161428571428571,6.67,1.26,2.6514285714285712,5.417142857142857,0.0,2.45,1.0571428571428572,5.081428571428572,6.192857142857143,8.05,1.26,2.6514285714285712,5.417142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.5285714285714286,0.0,0.5171428571428571,0.46,0.0,0.8828571428571428,4.062857142857143,0.0,2.45,0.5285714285714286,0.0,0.5171428571428571,0.46,0.0,0.8828571428571428,4.062857142857143,2.8957142857142855,3.817142857142857,3.4471428571428575,4.234285714285715,0.0,0.0,0.0,0.0,0.62,0.6942857142857143,0.7571428571428571,0.6942857142857143,0.0,0.0,12.636363636363637,1.6363636363636365,25.0,391.6363636363636,1.6363636363636365,703.0,11.0,10.0,390.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.73,0.97,0.24,0.24,0.0,0.0,18.282598723192784,1.187740899007181,3.69,2.73,3.67,1.94,-5.0,2.0,9.0,0.0,-1.0,2.0,22.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.6648468630774,2.318417151553189,4.486981344128678,272.11,280.54,57.7,0.09
